concurso,data,n1,n2,n3,n4,n5
5695,03/09/2022,81271,463,26450,77426,68928
5694,31/08/2022,7082,55035,1255,45238,71190
5693,27/08/2022,65274,24176,26676,77433,67910
5692,24/08/2022,59205,48174,73631,88681,56079
5691,20/08/2022,13499,59643,39273,89176,43656
5690,17/08/2022,65426,26754,92348,53752,30668
5689,13/08/2022,3179,48336,80888,84615,61293
5688,10/08/2022,66036,99507,60976,43299,93219
5687,06/08/2022,39920,12586,95810,81007,1354
5686,03/08/2022,62055,7719,35404,3252,86722
5685,30/07/2022,49792,56668,7403,26394,29594
5684,27/07/2022,57821,83664,73177,79628,54246
5683,23/07/2022,23021,19376,63867,59537,76464
5682,20/07/2022,24133,72230,27043,55677,14041
5681,16/07/2022,47844,7889,9014,16545,78117
5680,13/07/2022,86957,33812,68507,95375,19701
5679,09/07/2022,24036,37544,53990,7874,70891
5678,06/07/2022,20355,28332,12357,14012,48296
5677,02/07/2022,86645,15188,54084,68273,74020
5676,29/06/2022,9028,99440,80393,66550,75195
5675,25/06/2022,13930,75071,33840,25977,59707
5674,22/06/2022,88753,3700,45050,48121,22662
5673,18/06/2022,37325,62360,63706,65266,73892
5672,15/06/2022,79413,40229,53581,24724,20818
5671,11/06/2022,25901,78357,26774,19983,78845
5670,08/06/2022,71849,15830,70979,68013,54332
5669,04/06/2022,7678,18505,17274,303,40291
5668,01/06/2022,90366,49167,26745,77916,12235
5667,28/05/2022,59009,64316,21031,23899,18748
5666,25/05/2022,27818,12594,80595,29985,8245
5665,21/05/2022,78748,80390,88926,65152,29908
5664,18/05/2022,70279,31057,14234,88597,8182
5663,14/05/2022,52600,73159,35587,10251,13256
5662,11/05/2022,48274,44864,20706,69668,79933
5661,07/05/2022,38672,93077,9369,49019,35483
5660,04/05/2022,57199,73897,7350,29381,26215
5659,30/04/2022,27613,29382,45639,69884,97095

5658,27/04/2022,23169,19090,41382,76321,16157
5657,23/04/2022,58064,6566,26746,46523,53156
5656,20/04/2022,51820,58906,76579,91171,83687
5655,16/04/2022,871,34327,35070,24701,33085
5654,13/04/2022,54798,77563,49520,22470,33493
5653,09/04/2022,94805,82032,9359,11742,23147
5652,06/04/2022,96497,44302,89577,38852,8413
5651,02/04/2022,78205,53698,19237,64601,51962
